#,School Name,Auth (14),Program (16),Charter (14) ,Facility (4),School Code,School Type,Note
18,Greenwood Academy,WCCUSD,Non-ILCoP,WCCUSD School,No,0733253,Alternative,
63,Vista Independent Study/Virtual Academy,WCCUSD,Non-ILCoP,WCCUSD School,No,0730325,Alternative,
2,Aspire Richmond Technology Academy,WCCUSD,Non-ILCoP,WCC Charter,Yes,0132118,Elementary,
3,Bayview Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004600,Elementary,
6,Cesar E. Chavez Elementary,WCCUSD,ILCoP,WCCUSD School,No,6114094,Elementary,
7,Collins Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004659,Elementary,
8,Coronado Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004667,Elementary,
10,Dover Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004691,Elementary,
11,Edward M. Downer Elementary,WCCUSD,ILCoP,WCCUSD School,No,6057210,Elementary,
13,Ellerhorst Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004733,Elementary,
14,Fairmont Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004758,Elementary,
15,Ford Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004766,Elementary,
17,Grant Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004774,Elementary,
19,Hanna Ranch Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6112015,Elementary,
20,Harding Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004782,Elementary,
24,Highland Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004741,Elementary,
28,Kensington Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004808,Elementary,
29,Lake Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004824,Elementary,
31,Lincoln Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004832,Elementary,
34,Madera Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004840,Elementary,
37,"Martin Luther King, Jr. Elementary",WCCUSD,Non-ILCoP,WCCUSD School,No,6004915,Elementary,
38,Michelle Obama Elementary,WCCUSD,ILCoP,WCCUSD School,No,6005045,Elementary,
42,Murphy Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004873,Elementary,
43,Nystrom Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004881,Elementary,
44,Ohlone Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6099717,Elementary,
45,Olinda Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004899,Elementary,
50,Richmond Charter Elementary-Benito Juarez,WCCUSD,Non-ILCoP,WCC Charter,No,0129643,Elementary,
53,Riverside Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004931,Elementary,
54,Shannon Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004956,Elementary,
55,Sheldon Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004964,Elementary,
56,Stege Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004972,Elementary,
57,Stewart Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004980,Elementary,
60,Tara Hills Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004998,Elementary,
61,Valley View Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6005003,Elementary,
64,Voices College Bound Language Academy,WCCUSD,Non-ILCoP,WCC Charter,No,0136903,Elementary,
65,Washington Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6005037,Elementary,
66,West County Mandarin,WCCUSD,Non-ILCoP,WCCUSD School,No,0135434,Elementary,
9,De Anza High,WCCUSD,Non-ILCoP,WCCUSD School,No,0732164,High,
12,El Cerrito High,WCCUSD,Non-ILCoP,WCCUSD School,No,0732941,High,
22,Hercules High,WCCUSD,Non-ILCoP,WCCUSD School,No,0730598,High,
26,John F. Kennedy High,WCCUSD,Non-ILCoP,WCCUSD School,No,0733659,High,
27,John Henry High,SBE,Non-ILCoP,WCC Charter,No,0132233,High,Only State Board of Education Authorized School
30,Leadership Public Schools: Richmond,WCCUSD,Non-ILCoP,WCC Charter,No,0101477,High,
39,Middle College High,WCCUSD,Non-ILCoP,WCCUSD School,No,0730291,High,
48,Pinole Valley High,WCCUSD,Non-ILCoP,WCCUSD School,No,0735316,High,
52,Richmond High,WCCUSD,Non-ILCoP,WCCUSD School,No,0735902,High,
5,Caliber: Beta Academy,CCCOE,Non-ILCoP,WCC Charter,No,0129528,K-8,
40,Mira Vista Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6004857,K-8,
41,Montalvin Manor Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004865,K-8,
46,Peres Elementary,WCCUSD,ILCoP,WCCUSD School,No,6004907,K-8,
51,Richmond College Preparatory,WCCUSD,Non-ILCoP,WCC Charter,Yes,0110973,K-8,
62,Verde Elementary,WCCUSD,ILCoP,WCCUSD School,No,6005011,K-8,
4,Betty Reid Soskin Middle,WCCUSD,Non-ILCoP,WCCUSD School,No,6061170,Middle,
16,Fred T. Korematsu Middle,WCCUSD,Non-ILCoP,WCCUSD School,No,6057244,Middle,
21,Helms Middle,WCCUSD,ILCoP,WCCUSD School,No,6057228,Middle,
23,Hercules Middle,WCCUSD,Non-ILCoP,WCCUSD School,No,6119515,Middle,
32,Lovonya DeJean Middle,WCCUSD,Non-ILCoP,WCCUSD School,No,6120885,Middle,
33,Lupine Hills Elementary,WCCUSD,Non-ILCoP,WCCUSD School,No,6097141,Middle,
36,Manzanita Middle,CCCOE,Non-ILCoP,WCC Charter,No,6118368,Middle,
47,Pinole Middle,WCCUSD,Non-ILCoP,WCCUSD School,No,6057236,Middle,
49,Richmond Charter Academy,WCCUSD,Non-ILCoP,WCC Charter,No,0126805,Middle,
1,Aspire Ca College Preparatory Academy,WCCUSD,Non-ILCoP,WCC Charter,Yes,0132100,Middle-High,
25,Invictus Academy of Richmond,CCCOE,Non-ILCoP,WCC Charter,No,0137026,Middle-High,
35,Making Waves Academy,CCCOE,Non-ILCoP,WCC Charter,No,0114470,Middle-High,
58,Summit: K2,CCCOE,Non-ILCoP,WCC Charter,Yes,0129684,Middle-High,
59,Summit: Tamalpais,WCCUSD,Non-ILCoP,WCC Charter,No,0133637,Middle-High,
