county_code,district_code,school_code,district_name,school_name,entity_name,auth,program,charter,facility,school_type,entity_level_num
00,00000,0000000,State of California,State of California,State of California,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0
12,62984,0000000,Peninsula Union,,Peninsula Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
21,65318,0000000,Miller Creek Elementary,,Miller Creek Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
33,67116,0000000,Menifee Union,,Menifee Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
33,67157,0000000,Nuview Union,,Nuview Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
34,32276,0000000,California Education Authority (CEA) Headquarters,,California Education Authority (CEA) Headquarters,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
43,69534,0000000,Los Gatos-Saratoga Union High,,Los Gatos-Saratoga Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
43,69591,0000000,Mountain View Whisman,,Mountain View Whisman,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
49,70789,0000000,Kenwood,,Kenwood,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
55,72348,0000000,Columbia Union,,Columbia Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
58,72751,0000000,Wheatland,,Wheatland,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
09,61945,0000000,Pioneer Union,,Pioneer Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,10017,0000000,Alameda County Office of Education,,Alameda County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,31609,0000000,California School for the Blind (State Special Schl),,California School for the Blind (State Special Schl),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,31617,0000000,California School for the Deaf-Fremont (State Special Schl),,California School for the Deaf-Fremont (State Special Schl),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61119,0000000,Alameda Unified,,Alameda Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61127,0000000,Albany City Unified,,Albany City Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61143,0000000,Berkeley Unified,,Berkeley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61150,0000000,Castro Valley Unified,,Castro Valley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61168,0000000,Emery Unified,,Emery Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61176,0000000,Fremont Unified,,Fremont Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61192,0000000,Hayward Unified,,Hayward Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61200,0000000,Livermore Valley Joint Unified,,Livermore Valley Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61218,0000000,Mountain House Elementary,,Mountain House Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61234,0000000,Newark Unified,,Newark Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61242,0000000,New Haven Unified,,New Haven Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61259,0000000,Oakland Unified,,Oakland Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61275,0000000,Piedmont City Unified,,Piedmont City Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61291,0000000,San Leandro Unified,,San Leandro Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
